date,Positivo,Negativo
2023-01-01,1.0,0.0
2023-01-02,2.0,3.0
2023-01-03,3.0,0.0
2023-01-04,2.0,0.0
2023-01-05,2.0,1.0
2023-01-06,3.0,2.0
2023-01-07,3.0,0.0
2023-01-08,0.0,1.0
2023-01-09,1.0,0.0
2023-01-10,3.0,1.0
2023-01-11,4.0,1.0
2023-01-13,2.0,1.0
2023-01-14,4.0,0.0
2023-01-15,1.0,0.0
2023-01-16,1.0,3.0
2023-01-17,5.0,1.0
2023-01-18,3.0,3.0
2023-01-19,3.0,1.0
2023-01-20,5.0,2.0
2023-01-21,1.0,0.0
2023-01-23,5.0,0.0
2023-01-24,7.0,0.0
2023-01-25,3.0,0.0
2023-01-26,3.0,0.0
2023-01-27,4.0,2.0
2023-01-28,4.0,0.0
2023-01-29,1.0,1.0
2023-01-30,3.0,1.0
2023-01-31,1.0,0.0
2023-02-01,3.0,2.0
2023-02-02,4.0,0.0
2023-02-03,2.0,0.0
2023-02-04,2.0,0.0
2023-02-05,1.0,0.0
2023-02-07,1.0,0.0
2023-02-08,1.0,1.0
2023-02-10,1.0,0.0
2023-02-11,3.0,2.0
2023-02-13,4.0,0.0
2023-02-14,2.0,1.0
2023-02-15,0.0,3.0
2023-02-16,2.0,2.0
2023-02-17,1.0,2.0
2023-02-18,2.0,0.0
2023-02-20,1.0,1.0
2023-02-21,0.0,1.0
2023-02-23,3.0,1.0
2023-02-24,0.0,3.0
2023-02-25,1.0,0.0
2023-02-26,6.0,3.0
2023-02-27,7.0,7.0
2023-02-28,4.0,0.0
2023-03-01,0.0,1.0
2023-03-02,3.0,0.0
2023-03-03,1.0,4.0
2023-03-04,0.0,2.0
2023-03-06,0.0,2.0
2023-03-07,2.0,1.0
2023-03-08,4.0,2.0
2023-03-09,3.0,1.0
2023-03-10,0.0,1.0
2023-03-11,1.0,0.0
2023-03-12,1.0,2.0
2023-03-13,9.0,2.0
2023-03-14,3.0,1.0
2023-03-15,5.0,1.0
2023-03-16,6.0,0.0
2023-03-17,5.0,0.0
2023-03-18,1.0,0.0
2023-03-19,1.0,0.0
2023-03-21,0.0,1.0
2023-03-22,2.0,0.0
2023-03-23,3.0,0.0
2023-03-24,5.0,1.0
2023-03-25,1.0,1.0
2023-03-26,2.0,1.0
2023-03-28,4.0,4.0
2023-03-29,4.0,3.0
2023-03-30,2.0,0.0
2023-03-31,2.0,1.0
2023-04-01,2.0,0.0
2023-04-03,4.0,0.0
2023-04-04,0.0,1.0
2023-04-06,1.0,1.0
2023-04-08,2.0,0.0
2023-04-11,2.0,0.0
2023-04-13,1.0,1.0
2023-04-14,2.0,1.0
2023-04-15,2.0,0.0
2023-04-17,1.0,0.0
2023-04-18,0.0,1.0
2023-04-19,4.0,0.0
2023-05-12,4.0,1.0
2023-05-13,1.0,0.0
2023-05-15,5.0,3.0
2023-05-16,6.0,1.0
2023-05-17,4.0,0.0
2023-05-18,1.0,1.0
2023-05-19,2.0,1.0
2023-05-20,1.0,0.0
2023-05-21,2.0,0.0
2023-05-22,3.0,0.0
2023-05-23,1.0,2.0
2023-05-24,1.0,2.0
2023-05-25,2.0,0.0
2023-05-27,1.0,2.0
2023-05-29,3.0,0.0
2023-05-30,3.0,0.0
2023-05-31,2.0,1.0
2023-06-01,2.0,1.0
2023-06-02,4.0,0.0
2023-06-03,5.0,0.0
2023-06-05,3.0,0.0
2023-06-06,0.0,1.0
2023-06-07,2.0,0.0
2023-06-08,0.0,1.0
2023-06-10,1.0,0.0
2023-06-12,0.0,1.0
2023-06-13,1.0,0.0
2023-06-15,1.0,1.0
2023-06-16,2.0,0.0
2023-06-17,1.0,0.0
2023-06-18,1.0,0.0
2023-06-19,3.0,1.0
2023-06-20,4.0,1.0
2023-06-21,4.0,1.0
2023-06-22,1.0,2.0
2023-06-23,1.0,0.0
